 *************************************************************************
 ************		    FSM3D_qua_part1		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section 3.2 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1857
 Number of nodes   :      1859
 Times of iteration:       209
 Computing time    :     44.08 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
  102    2.6135E+01   -4.2577E+01    4.2500E+01   -4.4919E-05   -1.1628E-02    9.9765E-04
  103    2.6135E+01   -4.2577E+01    3.7500E+01   -6.7094E-04   -1.2878E-02    2.1705E-03
  104    2.6135E+01   -4.2577E+01    3.2500E+01   -6.4013E-04   -1.3343E-02    3.1018E-03
  105    2.6135E+01   -4.2577E+01    2.7500E+01   -2.0191E-04   -1.3475E-02    3.5909E-03
  106    2.6135E+01   -4.2577E+01    2.2500E+01    3.6931E-04   -1.3477E-02    3.5826E-03
  107    2.6135E+01   -4.2577E+01    1.7500E+01    8.1081E-04   -1.3347E-02    3.0750E-03
  108    2.6135E+01   -4.2577E+01    1.2500E+01    8.4761E-04   -1.2883E-02    2.1188E-03
  109    2.6135E+01   -4.2577E+01    7.5000E+00    2.2704E-04   -1.1628E-02    9.0826E-04
  110    2.6135E+01   -4.2577E+01    2.5000E+00   -1.0748E-03   -8.8509E-03   -7.8434E-05
  111    2.9520E+01   -4.0304E+01    4.7500E+01    1.4704E-03   -6.4996E-03    3.9594E-03
  112    2.9520E+01   -4.0304E+01    4.2500E+01    6.0904E-04   -8.9031E-03    3.3322E-03
  113    2.9520E+01   -4.0304E+01    3.7500E+01   -1.9679E-05   -1.0155E-02    3.6794E-03
  114    2.9520E+01   -4.0304E+01    3.2500E+01   -1.9425E-04   -1.0723E-02    4.1410E-03
  115    2.9520E+01   -4.0304E+01    2.7500E+01   -4.9647E-05   -1.0929E-02    4.4194E-03
  116    2.9520E+01   -4.0304E+01    2.2500E+01    2.0593E-04   -1.0929E-02    4.4116E-03
  117    2.9520E+01   -4.0304E+01    1.7500E+01    3.5307E-04   -1.0724E-02    4.1160E-03
  118    2.9520E+01   -4.0304E+01    1.2500E+01    1.8341E-04   -1.0154E-02    3.6323E-03
  119    2.9520E+01   -4.0304E+01    7.5000E+00   -4.3839E-04   -8.8926E-03    3.2536E-03
  120    2.9520E+01   -4.0304E+01    2.5000E+00   -1.2770E-03   -6.4569E-03    3.8223E-03
  121    3.2707E+01   -3.7763E+01    4.7500E+01    1.5167E-03   -4.7439E-03    7.1038E-03
  122    3.2707E+01   -3.7763E+01    4.2500E+01    1.0186E-03   -6.8330E-03    5.3269E-03
