 *************************************************************************
 ************		    FSM3D_tri_part1		        **********
 ************	      Algorithm developed by                    **********
 ************	  Kuriyama et al.(1995) and Wong & Cui (2021)   **********
 ************	   Codes developed by Wong & Cui (2021)	        **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section S3-2 of the companion paper)to verify the triangular element                                  
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3504
 Number of nodes   :      1754
 Times of iteration:       239
 Computing time    :    321.10 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
   99    2.1716E+01   -4.4998E+01    2.4074E+01    2.8196E-04   -1.8148E-02    2.1666E-03
  100    2.2917E+01   -4.4398E+01    2.5926E+01    1.2994E-04    1.6860E-02    3.2902E-03
  101    2.1716E+01   -4.4998E+01    1.8519E+01    1.4887E-03   -1.8194E-02    1.4946E-03
  102    2.2917E+01   -4.4398E+01    2.0370E+01   -9.2403E-04    1.6883E-02    2.9997E-03
  103    2.1716E+01   -4.4998E+01    1.2963E+01    2.1916E-03   -1.8077E-02   -2.8576E-04
  104    2.2917E+01   -4.4398E+01    1.4815E+01   -1.6609E-03    1.6822E-02    1.7623E-03
  105    2.1716E+01   -4.4998E+01    7.4074E+00    1.7393E-03   -1.7012E-02   -3.3000E-03
  106    2.2917E+01   -4.4398E+01    9.2593E+00   -1.5747E-03    1.6175E-02   -4.9429E-04
  107    2.1716E+01   -4.4998E+01    1.8519E+00   -7.3914E-04   -1.3421E-02   -8.2689E-03
  108    2.2917E+01   -4.4398E+01    3.7037E+00   -1.3774E-04    1.3838E-02   -3.8435E-03
  109    2.5267E+01   -4.3104E+01    4.6296E+01    9.2256E-04   -1.0996E-02   -1.5693E-03
  110    2.6416E+01   -4.2410E+01    4.8148E+01   -1.6921E-03    8.8307E-03   -4.3409E-05
  111    2.5267E+01   -4.3104E+01    4.0741E+01   -5.8872E-04   -1.3464E-02    1.3436E-04
  112    2.6416E+01   -4.2410E+01    4.2593E+01   -4.0115E-05    1.1808E-02    1.0150E-03
  113    2.5267E+01   -4.3104E+01    3.5185E+01   -9.7086E-04   -1.4366E-02    1.6678E-03
  114    2.6416E+01   -4.2410E+01    3.7037E+01    6.7836E-04    1.3093E-02    2.3821E-03
  115    2.5267E+01   -4.3104E+01    2.9630E+01   -5.6032E-04   -1.4597E-02    2.6157E-03
  116    2.6416E+01   -4.2410E+01    3.1481E+01    5.8712E-04    1.3514E-02    3.3964E-03
  117    2.5267E+01   -4.3104E+01    2.4074E+01    1.9940E-04   -1.4633E-02    2.8597E-03
  118    2.6416E+01   -4.2410E+01    2.5926E+01    5.1076E-05    1.3614E-02    3.8266E-03
  119    2.5267E+01   -4.3104E+01    1.8519E+01    9.0380E-04   -1.4579E-02    2.3841E-03
  120    2.6416E+01   -4.2410E+01    2.0370E+01   -5.5533E-04    1.3589E-02    3.6236E-03
  121    2.5267E+01   -4.3104E+01    1.2963E+01    1.1394E-03   -1.4222E-02    1.2136E-03
  122    2.6416E+01   -4.2410E+01    1.4815E+01   -8.6828E-04    1.3348E-02    2.8009E-03
  123    2.5267E+01   -4.3104E+01    7.4074E+00    4.8660E-04   -1.2952E-02   -4.8220E-04
  124    2.6416E+01   -4.2410E+01    9.2593E+00   -5.1842E-04    1.2477E-02    1.4796E-03
  125    2.5267E+01   -4.3104E+01    1.8519E+00   -1.2748E-03   -9.8263E-03   -2.4496E-03
  126    2.6416E+01   -4.2410E+01    3.7037E+00    6.8124E-04    1.0245E-02    5.0233E-05
  127    2.8654E+01   -4.0931E+01    4.6296E+01    1.4373E-03   -8.1974E-03    1.9490E-03
  128    2.9743E+01   -4.0147E+01    4.8148E+01   -1.8496E-03    6.4053E-03    4.0020E-03
  129    2.8654E+01   -4.0931E+01    4.0741E+01    2.2880E-04   -1.0438E-02    2.1445E-03
  130    2.9743E+01   -4.0147E+01    4.2593E+01   -7.1919E-04    9.0261E-03    3.1492E-03
  131    2.8654E+01   -4.0931E+01    3.5185E+01   -2.9885E-04   -1.1461E-02    2.8769E-03
  132    2.9743E+01   -4.0147E+01    3.7037E+01    2.3756E-05    1.0344E-02    3.6274E-03
  133    2.8654E+01   -4.0931E+01    2.9630E+01   -2.2951E-04   -1.1830E-02    3.4355E-03
  134    2.9743E+01   -4.0147E+01    3.1481E+01    1.8478E-04    1.0892E-02    4.1724E-03
  135    2.8654E+01   -4.0931E+01    2.4074E+01    1.3229E-04   -1.1905E-02    3.5880E-03
  136    2.9743E+01   -4.0147E+01    2.5926E+01   -1.0901E-05    1.1058E-02    4.4317E-03
  137    2.8654E+01   -4.0931E+01    1.8519E+01    4.4602E-04   -1.1774E-02    3.2877E-03
  138    2.9743E+01   -4.0147E+01    2.0370E+01   -2.6665E-04    1.0998E-02    4.3057E-03
  139    2.8654E+01   -4.0931E+01    1.2963E+01    3.7624E-04   -1.1262E-02    2.6188E-03
  140    2.9743E+01   -4.0147E+01    1.4815E+01   -2.8240E-04    1.0635E-02    3.8319E-03
  141    2.8654E+01   -4.0931E+01    7.4074E+00   -3.3463E-04   -9.9274E-03    1.8982E-03
  142    2.9743E+01   -4.0147E+01    9.2593E+00    1.9684E-04    9.6592E-03    3.2295E-03
  143    2.8654E+01   -4.0931E+01    1.8519E+00   -1.5384E-03   -7.2005E-03    2.0635E-03
  144    2.9743E+01   -4.0147E+01    3.7037E+00    1.1678E-03    7.5897E-03    3.1755E-03
  145    3.1855E+01   -3.8493E+01    4.6296E+01    1.7157E-03   -6.1039E-03    4.7976E-03
  146    3.2877E+01   -3.7623E+01    4.8148E+01   -1.8656E-03    4.5697E-03    7.2494E-03
  147    3.1855E+01   -3.8493E+01    4.0741E+01    7.6424E-04   -8.1030E-03    3.8990E-03
  148    3.2877E+01   -3.7623E+01    4.2593E+01   -1.1465E-03    6.8845E-03    4.9755E-03
  149    3.1855E+01   -3.8493E+01    3.5185E+01    1.7830E-04   -9.1526E-03    4.0251E-03
  150    3.2877E+01   -3.7623E+01    3.7037E+01   -4.2681E-04    8.1615E-03    4.7913E-03
  151    3.1855E+01   -3.8493E+01    2.9630E+01    1.6927E-05   -9.6014E-03    4.2680E-03
  152    3.2877E+01   -3.7623E+01    3.1481E+01   -1.0801E-04    8.7708E-03    4.9649E-03
  153    3.1855E+01   -3.8493E+01    2.4074E+01    8.0020E-05   -9.7019E-03    4.3430E-03
  154    3.2877E+01   -3.7623E+01    2.5926E+01   -5.6055E-05    8.9764E-03    5.0817E-03
  155    3.1855E+01   -3.8493E+01    1.8519E+01    1.0562E-04   -9.5205E-03    4.1901E-03
  156    3.2877E+01   -3.7623E+01    2.0370E+01   -5.1337E-05    8.8929E-03    5.0204E-03
  157    3.1855E+01   -3.8493E+01    1.2963E+01   -1.5789E-04   -8.9269E-03    3.9205E-03
  158    3.2877E+01   -3.7623E+01    1.4815E+01    1.3429E-04    8.4625E-03    4.8296E-03
  159    3.1855E+01   -3.8493E+01    7.4074E+00   -8.6141E-04   -7.6177E-03    3.9242E-03
  160    3.2877E+01   -3.7623E+01    9.2593E+00    6.6891E-04    7.4648E-03    4.7758E-03
  161    3.1855E+01   -3.8493E+01    1.8519E+00   -1.6270E-03   -5.2305E-03    5.6601E-03
  162    3.2877E+01   -3.7623E+01    3.7037E+00    1.4396E-03    5.5788E-03    5.7341E-03
  163    3.4849E+01   -3.5804E+01    4.6296E+01    1.8413E-03   -4.5085E-03    7.1417E-03
  164    3.5798E+01   -3.4855E+01    4.8148E+01   -1.7953E-03    3.1615E-03    9.9052E-03
  165    3.4849E+01   -3.5804E+01    4.0741E+01    1.1007E-03   -6.2707E-03    5.4302E-03
  166    3.5798E+01   -3.4855E+01    4.2593E+01   -1.4019E-03    5.2090E-03    6.5445E-03
  167    3.4849E+01   -3.5804E+01    3.5185E+01    5.0248E-04   -7.2854E-03    5.0991E-03
  168    3.5798E+01   -3.4855E+01    3.7037E+01   -7.2442E-04    6.4017E-03    5.8630E-03
  169    3.4849E+01   -3.5804E+01    2.9630E+01    1.9072E-04   -7.7656E-03    5.0930E-03
  170    3.5798E+01   -3.4855E+01    3.1481E+01   -3.1097E-04    7.0223E-03    5.7476E-03
  171    3.4849E+01   -3.5804E+01    2.4074E+01    4.0346E-05   -7.8791E-03    5.1055E-03
  172    3.5798E+01   -3.4855E+01    2.5926E+01   -8.6421E-05    7.2455E-03    5.7500E-03
  173    3.4849E+01   -3.5804E+01    1.8519E+01   -1.3706E-04   -7.6723E-03    5.0719E-03
  174    3.5798E+01   -3.4855E+01    2.0370E+01    1.0307E-04    7.1503E-03    5.7412E-03
  175    3.4849E+01   -3.5804E+01    1.2963E+01   -5.1906E-04   -7.0536E-03    5.1135E-03
  176    3.5798E+01   -3.4855E+01    1.4815E+01    4.2030E-04    6.6951E-03    5.7747E-03
  177    3.4849E+01   -3.5804E+01    7.4074E+00   -1.1878E-03   -5.8219E-03    5.6589E-03
  178    3.5798E+01   -3.4855E+01    9.2593E+00    9.7014E-04    5.7292E-03    6.1390E-03
  179    3.4849E+01   -3.5804E+01    1.8519E+00   -1.6068E-03   -3.7288E-03    8.5867E-03
  180    3.5798E+01   -3.4855E+01    3.7037E+00    1.5733E-03    4.0300E-03    7.8607E-03
  181    3.7617E+01   -3.2884E+01    4.6296E+01    1.8689E-03   -3.2757E-03    9.0919E-03
  182    3.8487E+01   -3.1862E+01    4.8148E+01   -1.6724E-03    2.0704E-03    1.2101E-02
  183    3.7617E+01   -3.2884E+01    4.0741E+01    1.2988E-03   -4.8142E-03    6.7643E-03
  184    3.8487E+01   -3.1862E+01    4.2593E+01   -1.5408E-03    3.8827E-03    7.8935E-03
  185    3.7617E+01   -3.2884E+01    3.5185E+01    7.1180E-04   -5.7566E-03    6.0888E-03
  186    3.8487E+01   -3.1862E+01    3.7037E+01   -9.1081E-04    4.9672E-03    6.8361E-03
  187    3.7617E+01   -3.2884E+01    2.9630E+01    3.0653E-04   -6.2328E-03    5.8903E-03
  188    3.8487E+01   -3.1862E+01    3.1481E+01   -4.4443E-04    5.5649E-03    6.4987E-03
  189    3.7617E+01   -3.2884E+01    2.4074E+01    1.0524E-05   -6.3494E-03    5.8537E-03
  190    3.8487E+01   -3.1862E+01    2.5926E+01   -1.0473E-04    5.7887E-03    6.4114E-03
  191    3.7617E+01   -3.2884E+01    1.8519E+01   -3.0364E-04   -6.1364E-03    5.9143E-03
  192    3.8487E+01   -3.1862E+01    2.0370E+01    2.1016E-04    5.6904E-03    6.4445E-03
  193    3.7617E+01   -3.2884E+01    1.2963E+01   -7.5405E-04   -5.5322E-03    6.1954E-03
  194    3.8487E+01   -3.1862E+01    1.4815E+01    6.0952E-04    5.2414E-03    6.6529E-03
