 *************************************************************************
 ************		    DDFS3D_qua_part1		       **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Flawed Brazilian disk(section 3.3 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      2094
 Number of nodes   :      2102
 Times of iteration:        94
 Computing time    :     40.89 s
 Coordinates of center of gravity and DD/FS of each element:
 No.	     Gx            Gy            Gz           Dx/Px         Dy/Py         Dz/Pz
  112    2.5841E+01   -4.2757E+01    4.3182E+01   -1.2115E-01   -5.1977E+00   -6.8776E-01
  113    2.5841E+01   -4.2757E+01    3.8636E+01   -3.2769E-01   -5.5686E+00   -1.6925E-01
  114    2.5841E+01   -4.2757E+01    3.4091E+01   -3.3110E-01   -5.7082E+00    2.1943E-01
  115    2.5841E+01   -4.2757E+01    2.9545E+01   -2.0017E-01   -5.7462E+00    4.5609E-01
  116    2.5841E+01   -4.2757E+01    2.5000E+01   -6.5061E-03   -5.7515E+00    5.3554E-01
  117    2.5841E+01   -4.2757E+01    2.0455E+01    1.8629E-01   -5.7444E+00    4.5833E-01
  118    2.5841E+01   -4.2757E+01    1.5909E+01    3.1473E-01   -5.7038E+00    2.2458E-01
  119    2.5841E+01   -4.2757E+01    1.1364E+01    3.0772E-01   -5.5601E+00   -1.5937E-01
  120    2.5841E+01   -4.2757E+01    6.8182E+00    9.8051E-02   -5.1843E+00   -6.6882E-01
  121    2.5841E+01   -4.2757E+01    2.2727E+00   -3.9077E-01   -4.4392E+00   -1.3324E+00
  122    2.9198E+01   -4.0539E+01    4.7727E+01    4.3349E-01   -3.5437E+00    3.3232E-01
  123    2.9198E+01   -4.0539E+01    4.3182E+01    1.1287E-01   -4.1992E+00    3.9432E-01
  124    2.9198E+01   -4.0539E+01    3.8636E+01   -9.1003E-02   -4.5726E+00    6.0160E-01
  125    2.9198E+01   -4.0539E+01    3.4091E+01   -1.5282E-01   -4.7471E+00    8.1035E-01
  126    2.9198E+01   -4.0539E+01    2.9545E+01   -1.0698E-01   -4.8145E+00    9.5385E-01
  127    2.9198E+01   -4.0539E+01    2.5000E+01   -6.3730E-03   -4.8304E+00    1.0048E+00
  128    2.9198E+01   -4.0539E+01    2.0455E+01    9.3612E-02   -4.8122E+00    9.5643E-01
  129    2.9198E+01   -4.0539E+01    1.5909E+01    1.3777E-01   -4.7419E+00    8.1626E-01
  130    2.9198E+01   -4.0539E+01    1.1364E+01    7.3852E-02   -4.5640E+00    6.1262E-01
  131    2.9198E+01   -4.0539E+01    6.8182E+00   -1.3138E-01   -4.1875E+00    4.1409E-01
  132    2.9198E+01   -4.0539E+01    2.2727E+00   -4.4950E-01   -3.5305E+00    3.7020E-01
  133    3.2366E+01   -3.8058E+01    4.7727E+01    4.5572E-01   -2.8495E+00    1.7807E+00
  134    3.2366E+01   -3.8058E+01    4.3182E+01    2.7126E-01   -3.4270E+00    1.3535E+00
  135    3.2366E+01   -3.8058E+01    3.8636E+01    7.8780E-02   -3.7849E+00    1.3198E+00
  136    3.2366E+01   -3.8058E+01    3.4091E+01   -1.8626E-02   -3.9752E+00    1.3844E+00
  137    3.2366E+01   -3.8058E+01    2.9545E+01   -3.4318E-02   -4.0611E+00    1.4499E+00
